No Soal,Part Nama,Nama File Audio,Kunci Jawaban,Pilihan A,Pilihan B,Pilihan C,Pilihan D,Audio Script,Pertanyaan,Penjelasan Lengkap
774,Part C: Academic Talks,listening_simulation_452.mp3,A,A comprehensive analysis of the psychology of consumer choice.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis the psychology of consumer choice.
775,Part C: Academic Talks,listening_simulation_452.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore the psychology of consumer choice. Limiting the number of options on a retail display reduces decision fatigue, which paradoxically increases the final conversion rate by thirty percent. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
776,Part C: Academic Talks,listening_simulation_453.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
777,Part C: Academic Talks,listening_simulation_453.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
778,Part A (Agreement),listening_simulation_454.mp3,B,She wants the man to repeat his statement about the timeline.,She completely agrees that the workload schedule is too demanding.,She thinks the project has already been canceled.,She prefers to work late at night rather than early morning.,"Man: The timeline to finish the client's presentation slides is absurdly tight. 
Woman: You can say that again! I've been working non-stop since dawn. 
Narrator: What does the woman mean?",What does the woman mean?,Menguji ekspresi persetujuan (Agreement) 'You can say that again!' yang berarti pembicara kedua sangat setuju dengan pendapat pembicara pertama.
779,Part B: Long Conversation,listening_simulation_455.mp3,A,She is struggling to meet the tight deadline set by the executive board.,She forgot to attend the lunch meeting.,She lost the printed memo.,She wants to change teams.,"Man: Hi Jane, did you get the memo about the annual tax report? 
Woman: Yes, but I am struggling to meet the tight deadline set by the executive board. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What is the woman's main concern?,Pertanyaan mengenai permasalahan utama pembicara wanita. Wanita mengeluh bahwa ia sedang mengalami kendala yaitu struggling to meet the tight deadline set by the executive board.
780,Part B: Long Conversation,listening_simulation_455.mp3,B,Cancel the project entirely.,Eat lunch and review the training video manual sent by the coordinator.,Call the department head.,Buy a new digital manual.,"Man: Hi Jane, did you get the memo about the annual tax report? 
Woman: Yes, but I am struggling to meet the tight deadline set by the executive board. 
Man: Don't worry. Let's grab lunch and we can review the training video manual sent by the coordinator together.",What do the speakers plan to do?,Pertanyaan mengenai rencana tindakan. Pria mengajak wanita untuk makan siang bersama sambil melakukan penyelesaian yaitu review the training video manual sent by the coordinator.
781,Part C: Academic Talks,listening_simulation_456.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
782,Part C: Academic Talks,listening_simulation_456.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
783,Part C: Academic Talks,listening_simulation_457.mp3,A,A comprehensive analysis of sustainable workplace design.,An announcement about office vacation.,A historical overview of banking.,A health insurance policy briefing.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the primary subject of the talk?,Pertanyaan mengenai gagasan utama kuliah akademik. Pembicara menyatakan bahwa pembahasan hari ini berpusat pada analisis sustainable workplace design.
784,Part C: Academic Talks,listening_simulation_457.mp3,B,To reduce employee salaries.,To set a new benchmark for corporate productivity.,To redecorate the executive lounge.,To audit the accounting software.,"Speaker: Good morning class. Today we will explore sustainable workplace design. By introducing natural lighting and ergonomic furniture, companies report a twenty percent decrease in employee absenteeism and a massive boost in daily focus. This study will serve as our primary benchmark for corporate productivity.",What is the main goal of discussing this method?,Pertanyaan informasi spesifik. Pembicara menyebutkan bahwa tujuan studi ini adalah sebagai tolok ukur baru bagi produktivitas perusahaan.
